"coin_1"	"coin_2"
"HEADS"	"TAILS"
"HEADS"	"TAILS"
"TAILS"	"TAILS"
"HEADS"	"TAILS"
"HEADS"	"TAILS"
"TAILS"	"TAILS"
"HEADS"	"HEADS"
"HEADS"	"HEADS"
"TAILS"	"HEADS"
"TAILS"	"TAILS"
"TAILS"	"HEADS"
"TAILS"	"HEADS"
"HEADS"	"HEADS"
"HEADS"	"HEADS"
"TAILS"	"HEADS"
"TAILS"	"TAILS"
"HEADS"	"TAILS"
"TAILS"	"TAILS"
"HEADS"	"TAILS"
"HEADS"	"HEADS"
"TAILS"	"HEADS"
"HEADS"	"TAILS"
"TAILS"	"TAILS"
"HEADS"	"HEADS"
"HEADS"	"HEADS"
"TAILS"	"HEADS"
"HEADS"	"TAILS"
"HEADS"	"HEADS"
"HEADS"	"HEADS"
"TAILS"	"TAILS"
